Main Image Loaded: /binary/FoxDec/foxdec/examples/du/du, Base Address: 0x55bbeef4b000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x55bbeef4b318, Size: 28
Section: .note.gnu.property, Address: 0x55bbeef4b338, Size: 32
Section: .note.gnu.build-id, Address: 0x55bbeef4b358, Size: 36
Section: .note.ABI-tag, Address: 0x55bbeef4b37c, Size: 32
Section: .gnu.hash, Address: 0x55bbeef4b3a0, Size: 80
Section: .dynsym, Address: 0x55bbeef4b3f0, Size: 2832
Section: .dynstr, Address: 0x55bbeef4bf00, Size: 1219
Section: .gnu.version, Address: 0x55bbeef4c3c4, Size: 236
Section: .gnu.version_r, Address: 0x55bbeef4c4b0, Size: 112
Section: .rela.dyn, Address: 0x55bbeef4c520, Size: 1584
Section: .rela.plt, Address: 0x55bbeef4cb50, Size: 2424
Section: .init, Address: 0x55bbeef4e000, Size: 27
Section: .plt, Address: 0x55bbeef4e020, Size: 1632
Section: .plt.got, Address: 0x55bbeef4e680, Size: 32
Section: .plt.sec, Address: 0x55bbeef4e6a0, Size: 1616
Section: .text, Address: 0x55bbeef4ecf0, Size: 121042
Section: .fini, Address: 0x55bbeef6c5c4, Size: 13
Section: .rodata, Address: 0x55bbeef6d000, Size: 13976
Section: .eh_frame_hdr, Address: 0x55bbeef70698, Size: 2468
Section: .eh_frame, Address: 0x55bbeef71040, Size: 15368
Section: .init_array, Address: 0x55bbeef76670, Size: 8
Section: .fini_array, Address: 0x55bbeef76678, Size: 8
Section: .data.rel.ro, Address: 0x55bbeef76680, Size: 1048
Section: .dynamic, Address: 0x55bbeef76a98, Size: 496
Section: .got, Address: 0x55bbeef76c88, Size: 888
Section: .data, Address: 0x55bbeef77000, Size: 160
Section: .bss, Address: 0x55bbeef770a0, Size: 616
Section: .gnu_debugaltlink, Address: 0x0, Size: 73
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 303
# RIP, MemAddr, RSP
0x5271, 0x7fffad58ad98, 0x7fffad58ada0
0x5272, 0x7fffad58ad90, 0x7fffad58ad98
0x5288, 0x7fffad58ad88, 0x7fffad58ad90
0x21534, 0x7fffad58ad30, 0x7fffad58ad38
0x2153d, 0x7fffad58ad28, 0x7fffad58ad30
0x21542, 0x7fffad58ad20, 0x7fffad58ad28
0x21547, 0x7fffad58ad18, 0x7fffad58ad20
0x2154c, 0x7fffad58ad10, 0x7fffad58ad18
0x21554, 0x7fffad58ad08, 0x7fffad58ad10
0x2155c, 0x7fffad58acf8, 0x7fffad58ad00
0x21579, 0x7fffad58acf8, 0x7fffad58ad00
0x3d84, 0x7fffad58ac90, 0x7fffad58ac98
0x3d8c, 0x7fffad58ac88, 0x7fffad58ac90
0x3d8e, 0x7fffad58ac80, 0x7fffad58ac88
0x3d93, 0x7fffad58ac78, 0x7fffad58ac80
0x3d98, 0x7fffad58ac70, 0x7fffad58ac78
0x3d9c, 0x7fffad58ac68, 0x7fffad58ac70
0x3db7, 0x7fffad58ac58, 0x7fffad58ab40
0x3dcb, 0x7fffad58abb8, 0x7fffad58ab40
0x3dd4, 0x7fffad58abb0, 0x7fffad58ab40
0x3dd9, 0x7fffad58ab38, 0x7fffad58ab40
0xb944, 0x7fffad58ab30, 0x7fffad58ab38
0xb956, 0x7fffad58ab28, 0x7fffad58ab30
0xb9ab, 0x55bbeef771b0, 0x7fffad58ab30
0xb9b2, 0x55bbeef770c8, 0x7fffad58ab30
0x3dea, 0x7fffad58ab38, 0x7fffad58ab40
0x3dfd, 0x7fffad58ab38, 0x7fffad58ab40
0x3e09, 0x7fffad58ab38, 0x7fffad58ab40
0x3e15, 0x7fffad58ab38, 0x7fffad58ab40
0x3e1a, 0x7fffad58ab38, 0x7fffad58ab40
0xe442, 0x7fffad58ab28, 0x7fffad58ab30
0x3e26, 0x55bbeef77140, 0x7fffad58ab40
0x3e2d, 0x7fffad58ab38, 0x7fffad58ab40
0x3e43, 0x7fffad58ab38, 0x7fffad58ab40
0xb0b4, 0x7fffad58ab30, 0x7fffad58ab38
0xb0b9, 0x7fffad58ab28, 0x7fffad58ab30
0xb0bb, 0x7fffad58ab20, 0x7fffad58ab28
0xb0bf, 0x7fffad58ab18, 0x7fffad58ab20
0xb0d0, 0x7fffad58ab08, 0x7fffad58ab00
0xb1ff, 0x7fffad58aaf8, 0x7fffad58ab00
0xb217, 0x7fffad58aaf8, 0x7fffad58ab00
0xb22f, 0x7fffad58aaf8, 0x7fffad58ab00
0xb26e, 0x55bbeef77148, 0x7fffad58ab00
0xb279, 0x55bbeef77170, 0x7fffad58ab00
0x3e48, 0x7fffad58ab40, 0x7fffad58ab40
0x3e4c, 0x7fffad58ab48, 0x7fffad58ab40
0x3e54, 0x7fffad58ab4c, 0x7fffad58ab40
0x3e5c, 0x7fffad58ab50, 0x7fffad58ab40
0x3e7f, 0x7fffad58ab8c, 0x7fffad58ab40
0x3e87, 0x7fffad58ab38, 0x7fffad58ab40
0x4c48, 0x7fffad58ab38, 0x7fffad58ab40
0x5de4, 0x7fffad58ab30, 0x7fffad58ab38
0x5ded, 0x7fffad58ab28, 0x7fffad58ab30
0x5df7, 0x55bbef9a1310, 0x7fffad58ab30
0x5dfe, 0x55bbef9a1330, 0x7fffad58ab30
0x5e02, 0x55bbef9a1338, 0x7fffad58ab30
0x4c4d, 0x7fffad58ab40, 0x7fffad58ab40
0x4c6a, 0x55bbeef77183, 0x7fffad58ab40
0x4349, 0x7fffad58ab38, 0x7fffad58ab40
0x6104, 0x7fffad58ab30, 0x7fffad58ab38
0x610b, 0x7fffad58ab28, 0x7fffad58ab30
0x6134, 0x7fffad58ab28, 0x7fffad58ab30
0x9b74, 0x7fffad58ab20, 0x7fffad58ab28
0x9b80, 0x7fffad58ab18, 0x7fffad58ab20
0x9b85, 0x7fffad58ab10, 0x7fffad58ab18
0x9b8f, 0x7fffad58ab08, 0x7fffad58ab10
0x9b91, 0x7fffad58ab00, 0x7fffad58ab08
0x9b95, 0x7fffad58aaf8, 0x7fffad58ab00
0x9bb2, 0x7fffad58aae8, 0x7fffad58aaf0
0x9bd4, 0x55bbef9a1398, 0x7fffad58aaf0
0x9bd9, 0x7fffad58aae8, 0x7fffad58aaf0
0x9be8, 0x7fffad58aae8, 0x7fffad58aaf0
0x9bed, 0x55bbef9a1380, 0x7fffad58aaf0
0x9c02, 0x7fffad58aae8, 0x7fffad58aaf0
0x9c07, 0x55bbef9a1370, 0x7fffad58aaf0
