Main Image Loaded: /binary/FoxDec/foxdec/examples/gzip/gzip, Base Address: 0x5555be354000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x5555be354350, Size: 28
Section: .note.gnu.property, Address: 0x5555be354370, Size: 32
Section: .note.gnu.build-id, Address: 0x5555be354390, Size: 36
Section: .note.ABI-tag, Address: 0x5555be3543b4, Size: 32
Section: .gnu.hash, Address: 0x5555be3543d8, Size: 60
Section: .dynsym, Address: 0x5555be354418, Size: 2040
Section: .dynstr, Address: 0x5555be354c10, Size: 829
Section: .gnu.version, Address: 0x5555be354f4e, Size: 170
Section: .gnu.version_r, Address: 0x5555be354ff8, Size: 128
Section: .rela.dyn, Address: 0x5555be355078, Size: 2448
Section: .rela.plt, Address: 0x5555be355a08, Size: 1776
Section: .init, Address: 0x5555be357000, Size: 27
Section: .plt, Address: 0x5555be357020, Size: 1200
Section: .plt.got, Address: 0x5555be3574d0, Size: 16
Section: .plt.sec, Address: 0x5555be3574e0, Size: 1184
Section: .text, Address: 0x5555be357980, Size: 57477
Section: .fini, Address: 0x5555be365a08, Size: 13
Section: .rodata, Address: 0x5555be366000, Size: 9020
Section: .eh_frame_hdr, Address: 0x5555be36833c, Size: 1028
Section: .eh_frame, Address: 0x5555be368740, Size: 5952
Section: .init_array, Address: 0x5555be36b690, Size: 8
Section: .fini_array, Address: 0x5555be36b698, Size: 8
Section: .data.rel.ro, Address: 0x5555be36b6a0, Size: 1248
Section: .dynamic, Address: 0x5555be36bb80, Size: 496
Section: .got, Address: 0x5555be36bd70, Size: 656
Section: .data, Address: 0x5555be36c000, Size: 1024
Section: .bss, Address: 0x5555be36e000, Size: 827464
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 285
# RIP, MemAddr, RSP
0x41a1, 0x7fff313be668, 0x7fff313be670
0x41a2, 0x7fff313be660, 0x7fff313be668
0x41b8, 0x7fff313be658, 0x7fff313be660
0x11994, 0x7fff313be600, 0x7fff313be608
0x1199d, 0x7fff313be5f8, 0x7fff313be600
0x119a2, 0x7fff313be5f0, 0x7fff313be5f8
0x119a7, 0x7fff313be5e8, 0x7fff313be5f0
0x119ac, 0x7fff313be5e0, 0x7fff313be5e8
0x119b4, 0x7fff313be5d8, 0x7fff313be5e0
0x119bc, 0x7fff313be5c8, 0x7fff313be5d0
0x119d9, 0x7fff313be5c8, 0x7fff313be5d0
0x3994, 0x7fff313be560, 0x7fff313be568
0x3996, 0x7fff313be558, 0x7fff313be560
0x3998, 0x7fff313be550, 0x7fff313be558
0x399a, 0x7fff313be548, 0x7fff313be550
0x399c, 0x7fff313be540, 0x7fff313be548
0x399f, 0x7fff313be538, 0x7fff313be540
0x39b6, 0x7fff313be528, 0x7fff313be470
0x39c0, 0x7fff313be468, 0x7fff313be470
0x39c8, 0x5555be3f6008, 0x7fff313be470
0x39d2, 0x7fff313be468, 0x7fff313be470
0x3a03, 0x7fff313be488, 0x7fff313be470
0x3a16, 0x7fff313be468, 0x7fff313be470
0xd1c4, 0x7fff313be460, 0x7fff313be468
0xd1cc, 0x7fff313be458, 0x7fff313be460
0xd1d1, 0x7fff313be450, 0x7fff313be458
0xd1d3, 0x7fff313be448, 0x7fff313be450
0xd1d5, 0x7fff313be440, 0x7fff313be448
0xd1d6, 0x7fff313be438, 0x7fff313be440
0xd1db, 0x7fff313be418, 0x7fff313be420
0x3a1b, 0x5555be36ea00, 0x7fff313be470
0x3a2c, 0x5555be36ea10, 0x7fff313be470
0x3a3a, 0x5555be36ea08, 0x7fff313be470
0x3a47, 0x7fff313be484, 0x7fff313be470
0x3b6b, 0x7fff313be468, 0x7fff313be470
0x3e31, 0x5555be36ea2c, 0x7fff313be470
0x3a47, 0x7fff313be484, 0x7fff313be470
0x3b6b, 0x7fff313be468, 0x7fff313be470
0x3ea6, 0x5555be36c028, 0x7fff313be470
0x3ebb, 0x5555be36c02c, 0x7fff313be470
0x3ece, 0x7fff313be47c, 0x7fff313be470
0x3f06, 0x5555be36e960, 0x7fff313be470
0x3f13, 0x7fff313be468, 0x7fff313be470
0x3f2f, 0x7fff313be468, 0x7fff313be470
0x3f42, 0x7fff313be468, 0x7fff313be470
0x3f2f, 0x7fff313be468, 0x7fff313be470
0x3f42, 0x7fff313be468, 0x7fff313be470
0x3f2f, 0x7fff313be468, 0x7fff313be470
0x3f42, 0x7fff313be468, 0x7fff313be470
0x3f2f, 0x7fff313be468, 0x7fff313be470
0x3f42, 0x7fff313be468, 0x7fff313be470
0x3f2f, 0x7fff313be468, 0x7fff313be470
0x3f42, 0x7fff313be468, 0x7fff313be470
0x3f2f, 0x7fff313be468, 0x7fff313be470
0x3f42, 0x7fff313be468, 0x7fff313be470
0x3f64, 0x7fff313be518, 0x7fff313be470
0x3f7d, 0x7fff313be498, 0x7fff313be470
0x3f7d, 0x7fff313be49c, 0x7fff313be470
0x3f7d, 0x7fff313be4a0, 0x7fff313be470
0x3f7d, 0x7fff313be4a4, 0x7fff313be470
0x3f7d, 0x7fff313be4a8, 0x7fff313be470
0x3f7d, 0x7fff313be4ac, 0x7fff313be470
0x3f7d, 0x7fff313be4b0, 0x7fff313be470
0x3f7d, 0x7fff313be4b4, 0x7fff313be470
0x3f7d, 0x7fff313be4b8, 0x7fff313be470
0x3f7d, 0x7fff313be4bc, 0x7fff313be470
0x3f7d, 0x7fff313be4c0, 0x7fff313be470
0x3f7d, 0x7fff313be4c4, 0x7fff313be470
0x3f7d, 0x7fff313be4c8, 0x7fff313be470
0x3f7d, 0x7fff313be4cc, 0x7fff313be470
0x3f7d, 0x7fff313be4d0, 0x7fff313be470
0x3f7d, 0x7fff313be4d4, 0x7fff313be470
0x3f7d, 0x7fff313be4d8, 0x7fff313be470
0x3f7d, 0x7fff313be4dc, 0x7fff313be470
0x3f7d, 0x7fff313be4e0, 0x7fff313be470
0x3f7d, 0x7fff313be4e4, 0x7fff313be470
0x3f7d, 0x7fff313be4e8, 0x7fff313be470
0x3f7d, 0x7fff313be4ec, 0x7fff313be470
0x3f7d, 0x7fff313be4f0, 0x7fff313be470
0x3f7d, 0x7fff313be4f4, 0x7fff313be470
0x3f7d, 0x7fff313be4f8, 0x7fff313be470
0x3f7d, 0x7fff313be4fc, 0x7fff313be470
0x3f7d, 0x7fff313be500, 0x7fff313be470
0x3f7d, 0x7fff313be504, 0x7fff313be470
0x3f7d, 0x7fff313be508, 0x7fff313be470
0x3f7d, 0x7fff313be50c, 0x7fff313be470
0x3f7d, 0x7fff313be510, 0x7fff313be470
0x3f7d, 0x7fff313be514, 0x7fff313be470
0x3f7f, 0x7fff313be490, 0x7fff313be470
0x3f9c, 0x7fff313be468, 0x7fff313be470
0x3faa, 0x5555be36ea20, 0x7fff313be470
0x3fbc, 0x7fff313be468, 0x7fff313be470
0x3f9c, 0x7fff313be468, 0x7fff313be470
0x3fbc, 0x7fff313be468, 0x7fff313be470
0x3f9c, 0x7fff313be468, 0x7fff313be470
0x3fbc, 0x7fff313be468, 0x7fff313be470
0x3f9c, 0x7fff313be468, 0x7fff313be470
0x3fbc, 0x7fff313be468, 0x7fff313be470
0x3f9c, 0x7fff313be468, 0x7fff313be470
0x3fbc, 0x7fff313be468, 0x7fff313be470
0x3f9c, 0x7fff313be468, 0x7fff313be470
0x3fbc, 0x7fff313be468, 0x7fff313be470
0x3fe1, 0x5555be36e018, 0x7fff313be470
0x3fe7, 0x7fff313be468, 0x7fff313be470
0x6e80, 0x7fff313be460, 0x7fff313be468
0x6e82, 0x7fff313be458, 0x7fff313be460
0x6e84, 0x7fff313be450, 0x7fff313be458
0x6e86, 0x7fff313be448, 0x7fff313be450
0x6e8b, 0x7fff313be440, 0x7fff313be448
0x6e8c, 0x7fff313be438, 0x7fff313be440
0x6e9d, 0x7fff313be428, 0x7fff313bdf70
0x6eae, 0x5555be36c0a0, 0x7fff313bdf70
0x6eb5, 0x7fff313bdf68, 0x7fff313bdf70
0x6ed9, 0x7fff313bdf68, 0x7fff313bdf70
0x6ede, 0x7fff313bdf68, 0x7fff313bdf70
0x6dbc, 0x7fff313bdf60, 0x7fff313bdf68
0x6dc7, 0x7fff313bdf58, 0x7fff313bdf60
0x6dcb, 0x7fff313bdf50, 0x7fff313bdf58
0x6df2, 0x7fff313bdf48, 0x7fff313bdf50
0xe068, 0x7fff313bdf28, 0x7fff313bdef0
0xe078, 0x7fff313bdf08, 0x7fff313bdef0
0xe086, 0x7fff313bdee8, 0x7fff313bdef0
0xe08d, 0x7fff313bdee8, 0x7fff313bdef0
0xe4d4, 0x7fff313bdee0, 0x7fff313bdee8
0xe4d6, 0x7fff313bded8, 0x7fff313bdee0
0xe4db, 0x7fff313bded0, 0x7fff313bded8
0xe4dc, 0x7fff313bdec8, 0x7fff313bded0
0x6e1e, 0x7fff313bdf48, 0x7fff313bdf50
0x707e, 0x5555be3e4800, 0x7fff313bdf70
0x7298, 0x7fff313bdf68, 0x7fff313bdf70
0x6a76, 0x5555be3a2430, 0x7fff313bdf68
0x6a81, 0x5555be3f6018, 0x7fff313bdf68
0x6aad, 0x5555be3a2430, 0x7fff313bdf68
0x6abf, 0x5555be3f6010, 0x7fff313bdf68
0x6acd, 0x5555be3f6018, 0x7fff313bdf68
0x72ce, 0x7fff313bdf68, 0x7fff313bdf70
0x72da, 0x7fff313bdf68, 0x7fff313bdf70
0x6340, 0x7fff313bdf60, 0x7fff313bdf68
0x6342, 0x7fff313bdf58, 0x7fff313bdf60
0x6344, 0x7fff313bdf50, 0x7fff313bdf58
0x6346, 0x7fff313bdf48, 0x7fff313bdf50
0x6348, 0x7fff313bdf40, 0x7fff313bdf48
0x6349, 0x7fff313bdf38, 0x7fff313bdf40
0x635c, 0x7fff313bdee8, 0x7fff313bdee0
0x636a, 0x7fff313bdf28, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x63a0, 0x7fff313bded8, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x63a0, 0x7fff313bded8, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x638b, 0x7fff313bded8, 0x7fff313bdee0
0x63bd, 0x7fff313bded8, 0x7fff313bdee0
0xeff4, 0x7fff313bded0, 0x7fff313bded8
0xeff8, 0x7fff313bdec8, 0x7fff313bded0
0xefc4, 0x7fff313bded0, 0x7fff313bded8
0xefc9, 0x7fff313bdec8, 0x7fff313bded0
0xefd4, 0x7fff313bdeb8, 0x7fff313bdec0
0xeda4, 0x7fff313bdeb0, 0x7fff313bdeb8
0xeda8, 0x7fff313bdea8, 0x7fff313bdeb0
0x63c5, 0x7fff313bdef0, 0x7fff313bdee0
0x63ca, 0x7fff313bded8, 0x7fff313bdee0
0xd104, 0x7fff313bded0, 0x7fff313bded8
0xd109, 0x7fff313bdec8, 0x7fff313bded0
0xd10b, 0x7fff313bdec0, 0x7fff313bdec8
0xd10d, 0x7fff313bdeb8, 0x7fff313bdec0
0xd10e, 0x7fff313bdeb0, 0x7fff313bdeb8
0xd116, 0x7fff313bdea8, 0x7fff313bdeb0
0xd145, 0x5555bfa722a0, 0x7fff313bdeb0
0xd145, 0x5555bfa722a1, 0x7fff313bdeb0
0xd145, 0x5555bfa722a2, 0x7fff313bdeb0
0x63e0, 0x5555be36c040, 0x7fff313bdee0
0x6425, 0x7fff313bdefc, 0x7fff313bdee0
0x652a, 0x7fff313bded8, 0x7fff313bdee0
0x644e, 0x7fff313bded8, 0x7fff313bdee0
0xd104, 0x7fff313bded0, 0x7fff313bded8
0xd109, 0x7fff313bdec8, 0x7fff313bded0
0xd10b, 0x7fff313bdec0, 0x7fff313bdec8
0xd10d, 0x7fff313bdeb8, 0x7fff313bdec0
