Main Image Loaded: /binary/FoxDec/foxdec/examples/host/host, Base Address: 0x564e4a8fa000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x564e4a8fa318, Size: 28
Section: .note.gnu.property, Address: 0x564e4a8fa338, Size: 48
Section: .note.gnu.build-id, Address: 0x564e4a8fa368, Size: 36
Section: .note.ABI-tag, Address: 0x564e4a8fa38c, Size: 32
Section: .gnu.hash, Address: 0x564e4a8fa3b0, Size: 948
Section: .dynsym, Address: 0x564e4a8fa768, Size: 8424
Section: .dynstr, Address: 0x564e4a8fc850, Size: 5943
Section: .gnu.version, Address: 0x564e4a8fdf88, Size: 702
Section: .gnu.version_r, Address: 0x564e4a8fe248, Size: 128
Section: .rela.dyn, Address: 0x564e4a8fe2c8, Size: 2160
Section: .rela.plt, Address: 0x564e4a8feb38, Size: 5472
Section: .init, Address: 0x564e4a901000, Size: 27
Section: .plt, Address: 0x564e4a901020, Size: 3664
Section: .plt.got, Address: 0x564e4a901e70, Size: 16
Section: .plt.sec, Address: 0x564e4a901e80, Size: 3648
Section: .text, Address: 0x564e4a902cc0, Size: 55870
Section: .fini, Address: 0x564e4a910700, Size: 13
Section: .rodata, Address: 0x564e4a911000, Size: 13369
Section: .eh_frame_hdr, Address: 0x564e4a91443c, Size: 700
Section: .eh_frame, Address: 0x564e4a9146f8, Size: 5080
Section: .init_array, Address: 0x564e4a917490, Size: 8
Section: .fini_array, Address: 0x564e4a917498, Size: 8
Section: .data.rel.ro, Address: 0x564e4a9174a0, Size: 288
Section: .dynamic, Address: 0x564e4a9175c0, Size: 592
Section: .got, Address: 0x564e4a917810, Size: 2008
Section: .data, Address: 0x564e4a918000, Size: 624
Section: .bss, Address: 0x564e4a918280, Size: 4176
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 285
# RIP, MemAddr, RSP
0x9021, 0x7ffc597ae638, 0x7ffc597ae640
0x9022, 0x7ffc597ae630, 0x7ffc597ae638
0x902f, 0x7ffc597ae628, 0x7ffc597ae630
0x8cc4, 0x7ffc597ae530, 0x7ffc597ae538
0x8cd7, 0x7ffc597ae528, 0x7ffc597ae530
0x8ce0, 0x7ffc597ae520, 0x7ffc597ae528
0x8ce9, 0x7ffc597ae518, 0x7ffc597ae520
0x8cf5, 0x7ffc597ae510, 0x7ffc597ae518
0x8d00, 0x7ffc597ae508, 0x7ffc597ae510
0x8d13, 0x564e4a918018, 0x7ffc597ae500
0x8d20, 0x564e4a919190, 0x7ffc597ae500
0x8d27, 0x564e4a919198, 0x7ffc597ae500
0x8d36, 0x564e4a919180, 0x7ffc597ae500
0x8d3d, 0x564e4a919188, 0x7ffc597ae500
0x8d4c, 0x564e4a919170, 0x7ffc597ae500
0x8d53, 0x564e4a919178, 0x7ffc597ae500
0x8d62, 0x564e4a919168, 0x7ffc597ae500
0x8d6f, 0x564e4a919160, 0x7ffc597ae500
0x8d80, 0x564e4a919158, 0x7ffc597ae500
0x8d8a, 0x564e4a919150, 0x7ffc597ae500
0x8d94, 0x564e4a919148, 0x7ffc597ae500
0x8d99, 0x7ffc597ae4f8, 0x7ffc597ae500
0xae84, 0x7ffc597ae4f0, 0x7ffc597ae4f8
0xae89, 0x7ffc597ae4e8, 0x7ffc597ae4f0
0xae8a, 0x7ffc597ae4e0, 0x7ffc597ae4e8
0xae92, 0x7ffc597ae438, 0x7ffc597ae400
0xae97, 0x7ffc597ae440, 0x7ffc597ae400
0xae9c, 0x7ffc597ae448, 0x7ffc597ae400
0xaea1, 0x7ffc597ae450, 0x7ffc597ae400
0xaea6, 0x7ffc597ae458, 0x7ffc597ae400
0xaef2, 0x7ffc597ae428, 0x7ffc597ae400
0x8da9, 0x564e4a919140, 0x7ffc597ae500
0x8dba, 0x7ffc597ae4f8, 0x7ffc597ae500
0x8f37, 0x7f5d629d20e8, 0x7ffc597ae500
0x8f41, 0x7f5d629d20e4, 0x7ffc597ae500
0x8f47, 0x7ffc597ae4f8, 0x7ffc597ae500
0x8f55, 0x7ffc597ae4f8, 0x7ffc597ae500
0x8f5a, 0x7ffc597ae4f8, 0x7ffc597ae500
0xec54, 0x7ffc597ae4f0, 0x7ffc597ae4f8
0xec5d, 0x7ffc597ae4e8, 0x7ffc597ae4f0
0xec5f, 0x7ffc597ae4e0, 0x7ffc597ae4e8
0xec60, 0x7ffc597ae4d8, 0x7ffc597ae4e0
0xec71, 0x7ffc597ae4c8, 0x7ffc597ae430
0xec7b, 0x7ffc597ae438, 0x7ffc597ae430
0xec84, 0x7ffc597ae428, 0x7ffc597ae430
0xae84, 0x7ffc597ae420, 0x7ffc597ae428
0xae89, 0x7ffc597ae418, 0x7ffc597ae420
0xae8a, 0x7ffc597ae410, 0x7ffc597ae418
0xae92, 0x7ffc597ae368, 0x7ffc597ae330
0xae97, 0x7ffc597ae370, 0x7ffc597ae330
0xae9c, 0x7ffc597ae378, 0x7ffc597ae330
0xaea1, 0x7ffc597ae380, 0x7ffc597ae330
