Main Image Loaded: /binary/FoxDec/foxdec/examples/sha512sum/sha512sum, Base Address: 0x55d10b4da000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x55d10b4da318, Size: 28
Section: .note.gnu.property, Address: 0x55d10b4da338, Size: 32
Section: .note.gnu.build-id, Address: 0x55d10b4da358, Size: 36
Section: .note.ABI-tag, Address: 0x55d10b4da37c, Size: 32
Section: .gnu.hash, Address: 0x55d10b4da3a0, Size: 168
Section: .dynsym, Address: 0x55d10b4da448, Size: 1800
Section: .dynstr, Address: 0x55d10b4dab50, Size: 908
Section: .gnu.version, Address: 0x55d10b4daedc, Size: 150
Section: .gnu.version_r, Address: 0x55d10b4daf78, Size: 96
Section: .rela.dyn, Address: 0x55d10b4dafd8, Size: 936
Section: .rela.plt, Address: 0x55d10b4db380, Size: 1272
Section: .init, Address: 0x55d10b4dc000, Size: 27
Section: .plt, Address: 0x55d10b4dc020, Size: 864
Section: .plt.got, Address: 0x55d10b4dc380, Size: 16
Section: .plt.sec, Address: 0x55d10b4dc390, Size: 848
Section: .text, Address: 0x55d10b4dc6e0, Size: 36546
Section: .fini, Address: 0x55d10b4e55a4, Size: 13
Section: .rodata, Address: 0x55d10b4e6000, Size: 6156
Section: .eh_frame_hdr, Address: 0x55d10b4e780c, Size: 828
Section: .eh_frame, Address: 0x55d10b4e7b48, Size: 3968
Section: .init_array, Address: 0x55d10b4eaa10, Size: 8
Section: .fini_array, Address: 0x55d10b4eaa18, Size: 8
Section: .data.rel.ro, Address: 0x55d10b4eaa20, Size: 504
Section: .dynamic, Address: 0x55d10b4eac18, Size: 496
Section: .got, Address: 0x55d10b4eae08, Size: 488
Section: .data, Address: 0x55d10b4eb000, Size: 160
Section: .bss, Address: 0x55d10b4eb0a0, Size: 480
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 285
# RIP, MemAddr, RSP
0x3741, 0x7ffe7121e218, 0x7ffe7121e220
0x3742, 0x7ffe7121e210, 0x7ffe7121e218
