Main Image Loaded: /binary/FoxDec/foxdec/examples/sort/sort, Base Address: 0x55579bcad000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x55579bcad318, Size: 28
Section: .note.gnu.property, Address: 0x55579bcad338, Size: 32
Section: .note.gnu.build-id, Address: 0x55579bcad358, Size: 36
Section: .note.ABI-tag, Address: 0x55579bcad37c, Size: 32
Section: .gnu.hash, Address: 0x55579bcad3a0, Size: 172
Section: .dynsym, Address: 0x55579bcad450, Size: 3336
Section: .dynstr, Address: 0x55579bcae158, Size: 1698
Section: .gnu.version, Address: 0x55579bcae7fa, Size: 278
Section: .gnu.version_r, Address: 0x55579bcae910, Size: 240
Section: .rela.dyn, Address: 0x55579bcaea00, Size: 1992
Section: .rela.plt, Address: 0x55579bcaf1c8, Size: 2784
Section: .init, Address: 0x55579bcb0000, Size: 27
Section: .plt, Address: 0x55579bcb0020, Size: 1872
Section: .plt.got, Address: 0x55579bcb0770, Size: 32
Section: .plt.sec, Address: 0x55579bcb0790, Size: 1856
Section: .text, Address: 0x55579bcb0ed0, Size: 68642
Section: .fini, Address: 0x55579bcc1af4, Size: 13
Section: .rodata, Address: 0x55579bcc2000, Size: 12748
Section: .eh_frame_hdr, Address: 0x55579bcc51cc, Size: 2076
Section: .eh_frame, Address: 0x55579bcc59e8, Size: 11376
Section: .init_array, Address: 0x55579bcca570, Size: 8
Section: .fini_array, Address: 0x55579bcca578, Size: 8
Section: .data.rel.ro, Address: 0x55579bcca580, Size: 1176
Section: .dynamic, Address: 0x55579bccaa18, Size: 512
Section: .got, Address: 0x55579bccac18, Size: 1000
Section: .data, Address: 0x55579bccb000, Size: 424
Section: .bss, Address: 0x55579bccb1c0, Size: 2120
Section: .comment, Address: 0x0, Size: 43
Section: .debug_aranges, Address: 0x0, Size: 2688
Section: .debug_info, Address: 0x0, Size: 160497
Section: .debug_abbrev, Address: 0x0, Size: 27820
Section: .debug_line, Address: 0x0, Size: 74972
Section: .debug_str, Address: 0x0, Size: 25986
Section: .debug_loc, Address: 0x0, Size: 201174
Section: .debug_ranges, Address: 0x0, Size: 32944
Section: .symtab, Address: 0x0, Size: 13776
Section: .strtab, Address: 0x0, Size: 8477
Section: .shstrtab, Address: 0x0, Size: 384
# RIP, MemAddr, RSP
0x6d31, 0x7fff5e66b998, 0x7fff5e66b9a0
0x6d32, 0x7fff5e66b990, 0x7fff5e66b998
0x6d48, 0x7fff5e66b988, 0x7fff5e66b990
0x14a64, 0x7fff5e66b930, 0x7fff5e66b938
0x14a6d, 0x7fff5e66b928, 0x7fff5e66b930
0x14a72, 0x7fff5e66b920, 0x7fff5e66b928
0x14a77, 0x7fff5e66b918, 0x7fff5e66b920
0x14a7c, 0x7fff5e66b910, 0x7fff5e66b918
0x14a84, 0x7fff5e66b908, 0x7fff5e66b910
