Main Image Loaded: /binary/FoxDec/foxdec/examples/sqlite3/sqlite3, Base Address: 0x56318863b000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x56318863b318, Size: 28
Section: .note.gnu.property, Address: 0x56318863b338, Size: 48
Section: .note.gnu.build-id, Address: 0x56318863b368, Size: 36
Section: .note.ABI-tag, Address: 0x56318863b38c, Size: 32
Section: .gnu.hash, Address: 0x56318863b3b0, Size: 48
Section: .dynsym, Address: 0x56318863b3e0, Size: 3768
Section: .dynstr, Address: 0x56318863c298, Size: 1596
Section: .gnu.version, Address: 0x56318863c8d4, Size: 314
Section: .gnu.version_r, Address: 0x56318863ca10, Size: 240
Section: .rela.dyn, Address: 0x56318863cb00, Size: 53496
Section: .rela.plt, Address: 0x563188649bf8, Size: 2640
Section: .init, Address: 0x56318864b000, Size: 27
Section: .plt, Address: 0x56318864b020, Size: 1776
Section: .plt.got, Address: 0x56318864b710, Size: 48
Section: .plt.sec, Address: 0x56318864b740, Size: 1760
Section: .text, Address: 0x56318864be20, Size: 1244553
Section: .fini, Address: 0x56318877bbac, Size: 13
Section: .rodata, Address: 0x56318877c000, Size: 129759
Section: .eh_frame_hdr, Address: 0x56318879bae0, Size: 18444
Section: .eh_frame, Address: 0x5631887a02f0, Size: 135796
Section: .init_array, Address: 0x5631887c2b90, Size: 8
Section: .fini_array, Address: 0x5631887c2b98, Size: 8
Section: .data.rel.ro, Address: 0x5631887c2ba0, Size: 15920
Section: .dynamic, Address: 0x5631887c69d0, Size: 560
Section: .got, Address: 0x5631887c6c00, Size: 1000
Section: .data, Address: 0x5631887c7000, Size: 14880
Section: .bss, Address: 0x5631887caa20, Size: 2256
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 285
Section: , Address: 0x0, Size: 0
Section: .note.gnu.property, Address: 0x7f98b89ed2a8, Size: 32
Section: .note.gnu.build-id, Address: 0x7f98b89ed2c8, Size: 36
Section: .hash, Address: 0x7f98b89ed2f0, Size: 316
Section: .gnu.hash, Address: 0x7f98b89ed430, Size: 352
Section: .dynsym, Address: 0x7f98b89ed590, Size: 960
Section: .dynstr, Address: 0x7f98b89ed950, Size: 705
Section: .gnu.version, Address: 0x7f98b89edc12, Size: 80
Section: .gnu.version_d, Address: 0x7f98b89edc68, Size: 236
Section: .rela.dyn, Address: 0x7f98b89edd58, Size: 3480
Section: .rela.plt, Address: 0x7f98b89eeaf0, Size: 96
Section: .plt, Address: 0x7f98b89ef000, Size: 80
Section: .plt.sec, Address: 0x7f98b89ef050, Size: 64
Section: .text, Address: 0x7f98b89ef090, Size: 168581
Section: .rodata, Address: 0x7f98b8a19000, Size: 28608
Section: .stapsdt.base, Address: 0x7f98b8a1ffc0, Size: 1
Section: .eh_frame_hdr, Address: 0x7f98b8a1ffc4, Size: 2372
Section: .eh_frame, Address: 0x7f98b8a20908, Size: 13868
Section: .data.rel.ro, Address: 0x7f98b8a25620, Size: 6240
Section: .dynamic, Address: 0x7f98b8a26e80, Size: 368
Section: .got, Address: 0x7f98b8a26ff0, Size: 16
