Main Image Loaded: /binary/FoxDec/foxdec/examples/tar/tar, Base Address: 0x55b7b7c89000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x55b7b7c89318, Size: 28
Section: .note.gnu.property, Address: 0x55b7b7c89338, Size: 48
Section: .note.gnu.build-id, Address: 0x55b7b7c89368, Size: 36
Section: .note.ABI-tag, Address: 0x55b7b7c8938c, Size: 32
Section: .gnu.hash, Address: 0x55b7b7c893b0, Size: 180
Section: .dynsym, Address: 0x55b7b7c89468, Size: 5688
Section: .dynstr, Address: 0x55b7b7c8aaa0, Size: 2462
Section: .gnu.version, Address: 0x55b7b7c8b43e, Size: 474
Section: .gnu.version_r, Address: 0x55b7b7c8b618, Size: 272
Section: .rela.dyn, Address: 0x55b7b7c8b728, Size: 21504
Section: .rela.plt, Address: 0x55b7b7c90b28, Size: 4872
Section: .init, Address: 0x55b7b7c92000, Size: 27
Section: .plt, Address: 0x55b7b7c92020, Size: 3264
Section: .plt.got, Address: 0x55b7b7c92ce0, Size: 48
Section: .plt.sec, Address: 0x55b7b7c92d10, Size: 3248
Section: .text, Address: 0x55b7b7c939c0, Size: 358856
Section: .fini, Address: 0x55b7b7ceb388, Size: 13
Section: .rodata, Address: 0x55b7b7cec000, Size: 44651
Section: .eh_frame_hdr, Address: 0x55b7b7cf6e6c, Size: 5372
Section: .eh_frame, Address: 0x55b7b7cf8368, Size: 38356
Section: .init_array, Address: 0x55b7b7d03090, Size: 8
Section: .fini_array, Address: 0x55b7b7d03098, Size: 8
Section: .data.rel.ro, Address: 0x55b7b7d030a0, Size: 5736
Section: .dynamic, Address: 0x55b7b7d04708, Size: 528
Section: .got, Address: 0x55b7b7d04918, Size: 1752
Section: .data, Address: 0x55b7b7d05000, Size: 11880
Section: .bss, Address: 0x55b7b7d07e80, Size: 4120
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 285
# RIP, MemAddr, RSP
0xce21, 0x7fffadaceb78, 0x7fffadaceb80
0xce22, 0x7fffadaceb70, 0x7fffadaceb78
0xce2f, 0x7fffadaceb68, 0x7fffadaceb70
0xab04, 0x7fffadacea70, 0x7fffadacea78
0xab06, 0x7fffadacea68, 0x7fffadacea70
0xab12, 0x7fffadacea60, 0x7fffadacea68
0xab19, 0x7fffadacea58, 0x7fffadacea60
0xab1b, 0x7fffadacea50, 0x7fffadacea58
0xab23, 0x7fffadacea48, 0x7fffadacea50
0xab34, 0x7fffadacea38, 0x7fffadace8b0
0xab3e, 0x7fffadace8a8, 0x7fffadace8b0
0xab4e, 0x55b7b7d080b0, 0x7fffadace8b0
0xab55, 0x55b7b7d08590, 0x7fffadace8b0
0xab5c, 0x7fffadace8a8, 0x7fffadace8b0
0x4a144, 0x7fffadace8a0, 0x7fffadace8a8
0x4a146, 0x7fffadace898, 0x7fffadace8a0
0x4a147, 0x7fffadace890, 0x7fffadace898
0x4a155, 0x7fffadace888, 0x7fffadace890
0x4a182, 0x7fffadace888, 0x7fffadace890
0x4a1bb, 0x55b7b7d07fc0, 0x7fffadace890
0x4a1c2, 0x7f1077093538, 0x7fffadace890
0xab6d, 0x7fffadace8a8, 0x7fffadace8b0
0xab7c, 0x7fffadace8a8, 0x7fffadace8b0
0xab84, 0x7fffadace8a8, 0x7fffadace8b0
0xab97, 0x55b7b7d059a0, 0x7fffadace8b0
0xaba1, 0x55b7b7d080c4, 0x7fffadace8b0
0xabab, 0x55b7b7d08508, 0x7fffadace8b0
0xabb2, 0x55b7b7d07f80, 0x7fffadace8b0
0xabbc, 0x7fffadace8a8, 0x7fffadace8b0
0xabe3, 0x55b7b7d07ea0, 0x7fffadace8b0
0xabe9, 0x7fffadace8a8, 0x7fffadace8b0
