Main Image Loaded: /binary/FoxDec/foxdec/examples/wc/wc, Base Address: 0x562cdd2ad000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x562cdd2ad318, Size: 28
Section: .note.gnu.property, Address: 0x562cdd2ad338, Size: 32
Section: .note.gnu.build-id, Address: 0x562cdd2ad358, Size: 36
Section: .note.ABI-tag, Address: 0x562cdd2ad37c, Size: 32
Section: .gnu.hash, Address: 0x562cdd2ad3a0, Size: 176
Section: .dynsym, Address: 0x562cdd2ad450, Size: 2112
Section: .dynstr, Address: 0x562cdd2adc90, Size: 988
Section: .gnu.version, Address: 0x562cdd2ae06c, Size: 176
Section: .gnu.version_r, Address: 0x562cdd2ae120, Size: 96
Section: .rela.dyn, Address: 0x562cdd2ae180, Size: 936
Section: .rela.plt, Address: 0x562cdd2ae528, Size: 1536
Section: .init, Address: 0x562cdd2af000, Size: 27
Section: .plt, Address: 0x562cdd2af020, Size: 1040
Section: .plt.got, Address: 0x562cdd2af430, Size: 48
Section: .plt.sec, Address: 0x562cdd2af460, Size: 1024
Section: .text, Address: 0x562cdd2af860, Size: 23058
Section: .fini, Address: 0x562cdd2b5274, Size: 13
Section: .rodata, Address: 0x562cdd2b6000, Size: 5198
Section: .eh_frame_hdr, Address: 0x562cdd2b7450, Size: 924
Section: .eh_frame, Address: 0x562cdd2b77f0, Size: 4400
Section: .init_array, Address: 0x562cdd2b9a30, Size: 8
Section: .fini_array, Address: 0x562cdd2b9a38, Size: 8
Section: .data.rel.ro, Address: 0x562cdd2b9a40, Size: 376
Section: .dynamic, Address: 0x562cdd2b9bb8, Size: 496
Section: .got, Address: 0x562cdd2b9da8, Size: 592
Section: .data, Address: 0x562cdd2ba000, Size: 136
Section: .bss, Address: 0x562cdd2ba0a0, Size: 504
Section: .gnu_debugaltlink, Address: 0x0, Size: 73
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 303
# RIP, MemAddr, RSP
0x3361, 0x7ffdea6e3e58, 0x7ffdea6e3e60
0x3362, 0x7ffdea6e3e50, 0x7ffdea6e3e58
0x3378, 0x7ffdea6e3e48, 0x7ffdea6e3e50
0x81e4, 0x7ffdea6e3df0, 0x7ffdea6e3df8
0x81ed, 0x7ffdea6e3de8, 0x7ffdea6e3df0
0x81f2, 0x7ffdea6e3de0, 0x7ffdea6e3de8
0x81f7, 0x7ffdea6e3dd8, 0x7ffdea6e3de0
0x81fc, 0x7ffdea6e3dd0, 0x7ffdea6e3dd8
0x8204, 0x7ffdea6e3dc8, 0x7ffdea6e3dd0
0x820c, 0x7ffdea6e3db8, 0x7ffdea6e3dc0
0x8229, 0x7ffdea6e3db8, 0x7ffdea6e3dc0
0x28b4, 0x7ffdea6e3d50, 0x7ffdea6e3d58
0x28b6, 0x7ffdea6e3d48, 0x7ffdea6e3d50
0x28b8, 0x7ffdea6e3d40, 0x7ffdea6e3d48
0x28c1, 0x7ffdea6e3d38, 0x7ffdea6e3d40
0x28c3, 0x7ffdea6e3d30, 0x7ffdea6e3d38
0x28c7, 0x7ffdea6e3d28, 0x7ffdea6e3d30
0x28dd, 0x7ffdea6e3d18, 0x7ffdea6e3b20
0x28e7, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x4ab4, 0x7ffdea6e3b10, 0x7ffdea6e3b18
0x4ac6, 0x7ffdea6e3b08, 0x7ffdea6e3b10
0x4b1b, 0x562cdd2ba150, 0x7ffdea6e3b10
0x4b22, 0x562cdd2ba0c8, 0x7ffdea6e3b10
0x28f8, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x290b, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2917, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2923, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2928, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x293f, 0x562cdd2ba100, 0x7ffdea6e3b20
0x2946, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2952, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2957, 0x562cdd2ba111, 0x7ffdea6e3b20
0x295e, 0x562cdd2ba112, 0x7ffdea6e3b20
0x2968, 0x562cdd2ba113, 0x7ffdea6e3b20
0x296f, 0x562cdd2ba114, 0x7ffdea6e3b20
0x2976, 0x562cdd2ba110, 0x7ffdea6e3b20
0x297d, 0x562cdd2ba118, 0x7ffdea6e3b20
0x2988, 0x562cdd2ba120, 0x7ffdea6e3b20
0x2993, 0x562cdd2ba128, 0x7ffdea6e3b20
0x299e, 0x562cdd2ba130, 0x7ffdea6e3b20
0x29a9, 0x562cdd2ba138, 0x7ffdea6e3b20
0x29b4, 0x562cdd2ba0f8, 0x7ffdea6e3b20
0x29d6, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x2fd2, 0x562cdd2ba111, 0x7ffdea6e3b20
0x2fd9, 0x562cdd2ba113, 0x7ffdea6e3b20
0x2fe0, 0x562cdd2ba114, 0x7ffdea6e3b20
0x3001, 0x7ffdea6e3b30, 0x7ffdea6e3b20
0x300b, 0x7ffdea6e3b18, 0x7ffdea6e3b20
0x4514, 0x7ffdea6e3b10, 0x7ffdea6e3b18
0x451d, 0x7ffdea6e3b08, 0x7ffdea6e3b10
0x4527, 0x562cdeb682f0, 0x7ffdea6e3b10
0x452e, 0x562cdeb68310, 0x7ffdea6e3b10
0x4532, 0x562cdeb68318, 0x7ffdea6e3b10
0x3024, 0x7ffdea6e3b18, 0x7ffdea6e3b20
