Main Image Loaded: /binary/FoxDec/foxdec/examples/wc_small/wc, Base Address: 0x55672c405000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x55672c405318, Size: 28
Section: .note.gnu.property, Address: 0x55672c405338, Size: 32
Section: .note.gnu.build-id, Address: 0x55672c405358, Size: 36
Section: .note.ABI-tag, Address: 0x55672c40537c, Size: 32
Section: .gnu.hash, Address: 0x55672c4053a0, Size: 36
Section: .dynsym, Address: 0x55672c4053c8, Size: 264
Section: .dynstr, Address: 0x55672c4054d0, Size: 175
Section: .gnu.version, Address: 0x55672c405580, Size: 22
Section: .gnu.version_r, Address: 0x55672c405598, Size: 48
Section: .rela.dyn, Address: 0x55672c4055c8, Size: 192
Section: .rela.plt, Address: 0x55672c405688, Size: 120
Section: .init, Address: 0x55672c406000, Size: 27
Section: .plt, Address: 0x55672c406020, Size: 96
Section: .plt.got, Address: 0x55672c406080, Size: 16
Section: .plt.sec, Address: 0x55672c406090, Size: 80
Section: .text, Address: 0x55672c4060e0, Size: 677
Section: .fini, Address: 0x55672c406388, Size: 13
Section: .rodata, Address: 0x55672c407000, Size: 100
Section: .eh_frame_hdr, Address: 0x55672c407064, Size: 68
Section: .eh_frame, Address: 0x55672c4070a8, Size: 264
Section: .init_array, Address: 0x55672c408d98, Size: 8
Section: .fini_array, Address: 0x55672c408da0, Size: 8
Section: .dynamic, Address: 0x55672c408da8, Size: 496
Section: .got, Address: 0x55672c408f98, Size: 104
Section: .data, Address: 0x55672c409000, Size: 16
Section: .bss, Address: 0x55672c409010, Size: 8
Section: .comment, Address: 0x0, Size: 43
Section: .symtab, Address: 0x0, Size: 1656
Section: .strtab, Address: 0x0, Size: 597
Section: .shstrtab, Address: 0x0, Size: 282
# RIP, MemAddr, RSP
0x10f1, 0x7fff9cb486c8, 0x7fff9cb486d0
0x10f2, 0x7fff9cb486c0, 0x7fff9cb486c8
0x1108, 0x7fff9cb486b8, 0x7fff9cb486c0
0x1314, 0x7fff9cb48660, 0x7fff9cb48668
0x131d, 0x7fff9cb48658, 0x7fff9cb48660
0x1322, 0x7fff9cb48650, 0x7fff9cb48658
0x1327, 0x7fff9cb48648, 0x7fff9cb48650
0x132c, 0x7fff9cb48640, 0x7fff9cb48648
0x1334, 0x7fff9cb48638, 0x7fff9cb48640
0x133c, 0x7fff9cb48628, 0x7fff9cb48630
0x1359, 0x7fff9cb48628, 0x7fff9cb48630
0x11cd, 0x7fff9cb485c0, 0x7fff9cb485c8
0x11d5, 0x7fff9cb4859c, 0x7fff9cb48590
0x11d8, 0x7fff9cb48590, 0x7fff9cb48590
0x121c, 0x7fff9cb48588, 0x7fff9cb48590
0x1221, 0x7fff9cb485b8, 0x7fff9cb48590
0x1255, 0x7fff9cb485a4, 0x7fff9cb48590
0x125c, 0x7fff9cb485a8, 0x7fff9cb48590
0x1263, 0x7fff9cb485ac, 0x7fff9cb48590
0x126a, 0x7fff9cb485b0, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12b3, 0x7fff9cb485a4, 0x7fff9cb48590
0x12b7, 0x7fff9cb485b0, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12a4, 0x7fff9cb485b0, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12b3, 0x7fff9cb485a4, 0x7fff9cb48590
0x12b7, 0x7fff9cb485b0, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
0x1281, 0x7fff9cb48588, 0x7fff9cb48590
0x12c5, 0x7fff9cb48588, 0x7fff9cb48590
0x12ca, 0x7fff9cb485b4, 0x7fff9cb48590
0x1273, 0x7fff9cb485ac, 0x7fff9cb48590
