Main Image Loaded: /binary/FoxDec/foxdec/examples/xxd/xxd, Base Address: 0x55a982a99000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x55a982a99318, Size: 28
Section: .note.gnu.property, Address: 0x55a982a99338, Size: 48
Section: .note.gnu.build-id, Address: 0x55a982a99368, Size: 36
Section: .note.ABI-tag, Address: 0x55a982a9938c, Size: 32
Section: .gnu.hash, Address: 0x55a982a993b0, Size: 36
Section: .dynsym, Address: 0x55a982a993d8, Size: 816
Section: .dynstr, Address: 0x55a982a99708, Size: 372
Section: .gnu.version, Address: 0x55a982a9987c, Size: 68
Section: .gnu.version_r, Address: 0x55a982a998c0, Size: 80
Section: .rela.dyn, Address: 0x55a982a99910, Size: 288
Section: .rela.plt, Address: 0x55a982a99a30, Size: 600
Section: .init, Address: 0x55a982a9a000, Size: 27
Section: .plt, Address: 0x55a982a9a020, Size: 416
Section: .plt.got, Address: 0x55a982a9a1c0, Size: 16
Section: .plt.sec, Address: 0x55a982a9a1d0, Size: 400
Section: .text, Address: 0x55a982a9a360, Size: 6367
Section: .fini, Address: 0x55a982a9bc40, Size: 13
Section: .rodata, Address: 0x55a982a9c000, Size: 1988
Section: .eh_frame_hdr, Address: 0x55a982a9c7c4, Size: 116
Section: .eh_frame, Address: 0x55a982a9c838, Size: 484
Section: .init_array, Address: 0x55a982a9dce0, Size: 8
Section: .fini_array, Address: 0x55a982a9dce8, Size: 8
Section: .dynamic, Address: 0x55a982a9dcf0, Size: 496
Section: .got, Address: 0x55a982a9dee0, Size: 288
Section: .data, Address: 0x55a982a9e000, Size: 152
Section: .bss, Address: 0x55a982a9e0a0, Size: 5216
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 272
# RIP, MemAddr, RSP
0x26d1, 0x7ffe87408618, 0x7ffe87408620
0x26d2, 0x7ffe87408610, 0x7ffe87408618
0x26df, 0x7ffe87408608, 0x7ffe87408610
0x1364, 0x7ffe87408510, 0x7ffe87408518
0x1366, 0x7ffe87408508, 0x7ffe87408510
0x136b, 0x7ffe87408500, 0x7ffe87408508
0x1370, 0x7ffe874084f8, 0x7ffe87408500
0x1372, 0x7ffe874084f0, 0x7ffe874084f8
0x1373, 0x7ffe874084e8, 0x7ffe874084f0
0x137e, 0x55a982a9f4f8, 0x7ffe87408490
0x13a9, 0x55a982a9f4f8, 0x7ffe87408490
0x13ba, 0x7ffe874084d0, 0x7ffe87408490
0x13ca, 0x7ffe874084b8, 0x7ffe87408490
0x13d8, 0x7ffe874084c0, 0x7ffe87408490
0x13e1, 0x7ffe874084a4, 0x7ffe87408490
0x13e9, 0x7ffe874084b4, 0x7ffe87408490
0x13f1, 0x7ffe874084cc, 0x7ffe87408490
0x13f9, 0x7ffe874084c8, 0x7ffe87408490
0x1401, 0x7ffe874084a0, 0x7ffe87408490
0x1409, 0x7ffe874084b0, 0x7ffe87408490
