Main Image Loaded: /binary/FoxDec/foxdec/examples/zip/zip, Base Address: 0x5653eff58000
Section: , Address: 0x0, Size: 0
Section: .interp, Address: 0x5653eff58318, Size: 28
Section: .note.gnu.property, Address: 0x5653eff58338, Size: 48
Section: .note.gnu.build-id, Address: 0x5653eff58368, Size: 36
Section: .note.ABI-tag, Address: 0x5653eff5838c, Size: 32
Section: .gnu.hash, Address: 0x5653eff583b0, Size: 40
Section: .dynsym, Address: 0x5653eff583d8, Size: 2496
Section: .dynstr, Address: 0x5653eff58d98, Size: 1014
Section: .gnu.version, Address: 0x5653eff5918e, Size: 208
Section: .gnu.version_r, Address: 0x5653eff59260, Size: 144
Section: .rela.dyn, Address: 0x5653eff592f0, Size: 17832
Section: .rela.plt, Address: 0x5653eff5d898, Size: 2256
Section: .init, Address: 0x5653eff5f000, Size: 27
Section: .plt, Address: 0x5653eff5f020, Size: 1520
Section: .plt.got, Address: 0x5653eff5f610, Size: 16
Section: .plt.sec, Address: 0x5653eff5f620, Size: 1504
Section: .text, Address: 0x5653eff5fc00, Size: 105982
Section: .fini, Address: 0x5653eff79a00, Size: 13
Section: .rodata, Address: 0x5653eff7a000, Size: 44932
Section: .eh_frame_hdr, Address: 0x5653eff84f84, Size: 876
Section: .eh_frame, Address: 0x5653eff852f0, Size: 6672
Section: .init_array, Address: 0x5653eff87d90, Size: 8
Section: .fini_array, Address: 0x5653eff87d98, Size: 8
Section: .data.rel.ro, Address: 0x5653eff87da0, Size: 7448
Section: .dynamic, Address: 0x5653eff89ab8, Size: 512
Section: .got, Address: 0x5653eff89cb8, Size: 840
Section: .data, Address: 0x5653eff8a000, Size: 656
Section: .bss, Address: 0x5653eff8a2a0, Size: 321136
Section: .gnu_debugaltlink, Address: 0x0, Size: 67
Section: .gnu_debuglink, Address: 0x0, Size: 52
Section: .shstrtab, Address: 0x0, Size: 303
# RIP, MemAddr, RSP
0xf621, 0x7ffe061954b8, 0x7ffe061954c0
0xf622, 0x7ffe061954b0, 0x7ffe061954b8
0xf62f, 0x7ffe061954a8, 0x7ffe061954b0
0x7c14, 0x7ffe061953b0, 0x7ffe061953b8
0x7c20, 0x7ffe061953a8, 0x7ffe061953b0
0x7c22, 0x7ffe061953a0, 0x7ffe061953a8
0x7c24, 0x7ffe06195398, 0x7ffe061953a0
0x7c26, 0x7ffe06195390, 0x7ffe06195398
0x7c27, 0x7ffe06195388, 0x7ffe06195390
0x7c2f, 0x7ffe0619522c, 0x7ffe06195210
0x7c3e, 0x7ffe06195378, 0x7ffe06195210
0x7c48, 0x7ffe06195208, 0x7ffe06195210
0x7c63, 0x5653eff8d014, 0x7ffe06195210
0x7c70, 0x5653eff8d050, 0x7ffe06195210
0x7c81, 0x7ffe06195250, 0x7ffe06195210
0x7c86, 0x7ffe06195208, 0x7ffe06195210
0x7ceb, 0x7ffe06195208, 0x7ffe06195210
0x815c, 0x7ffe06195208, 0x7ffe06195210
0x819c, 0x5653eff8d040, 0x7ffe06195210
0x81a7, 0x5653eff8d080, 0x7ffe06195210
0x81b5, 0x5653eff8d030, 0x7ffe06195210
0x81c0, 0x7ffe06195208, 0x7ffe06195210
0x81cd, 0x7ffe06195208, 0x7ffe06195210
0x81da, 0x7ffe06195208, 0x7ffe06195210
0x81e7, 0x7ffe06195208, 0x7ffe06195210
0x81f4, 0x7ffe06195208, 0x7ffe06195210
0x8201, 0x7ffe06195208, 0x7ffe06195210
0x7f87, 0x7ffe06195208, 0x7ffe06195210
0x7fa3, 0x7ffe06195208, 0x7ffe06195210
0x7faf, 0x7ffe06195208, 0x7ffe06195210
0x7fb4, 0x5653f1443960, 0x7ffe06195210
0x7fcf, 0x7ffe06195208, 0x7ffe06195210
0x7fa3, 0x7ffe06195208, 0x7ffe06195210
0x7faf, 0x7ffe06195208, 0x7ffe06195210
0x7fb4, 0x5653f1443968, 0x7ffe06195210
0x7fcf, 0x7ffe06195208, 0x7ffe06195210
0x7fa3, 0x7ffe06195208, 0x7ffe06195210
0x7faf, 0x7ffe06195208, 0x7ffe06195210
0x7fb4, 0x5653f1443970, 0x7ffe06195210
0x7fcf, 0x7ffe06195208, 0x7ffe06195210
0x7fdd, 0x7ffe06195210, 0x7ffe06195210
0x7fe7, 0x7ffe06195228, 0x7ffe06195210
0x7ff2, 0x7ffe0619526c, 0x7ffe06195210
0x7ffa, 0x7ffe06195288, 0x7ffe06195210
0x8002, 0x7ffe06195280, 0x7ffe06195210
0x800a, 0x7ffe0619528c, 0x7ffe06195210
0x8012, 0x7ffe0619523c, 0x7ffe06195210
0x801a, 0x7ffe06195284, 0x7ffe06195210
0x8022, 0x7ffe06195278, 0x7ffe06195210
0x802a, 0x7ffe06195274, 0x7ffe06195210
0x8032, 0x7ffe06195238, 0x7ffe06195210
0x803a, 0x7ffe06195270, 0x7ffe06195210
0x8042, 0x7ffe0619527c, 0x7ffe06195210
0x804a, 0x5653f1443978, 0x7ffe06195210
0x8092, 0x7ffe06195228, 0x7ffe06195210
0x80b2, 0x7ffe06195220, 0x7ffe06195210
0x80be, 0x7ffe06195230, 0x7ffe06195210
0x80c6, 0x7ffe06195240, 0x7ffe06195210
0x868a, 0x7ffe06195208, 0x7ffe06195210
0x8696, 0x7ffe06195208, 0x7ffe06195210
0x869b, 0x7ffe06195220, 0x7ffe06195210
0x86b5, 0x7ffe06195208, 0x7ffe06195210
0x8cb8, 0x7ffe06195210, 0x7ffe06195210
0xde49, 0x7ffe06195208, 0x7ffe06195210
0x1d0ee, 0x5653eff8d098, 0x7ffe06195208
0x8bdf, 0x7ffe06195208, 0x7ffe06195210
0x8bfa, 0x7ffe06195208, 0x7ffe06195210
0xdd30, 0x7ffe06195208, 0x7ffe06195210
0xfe00, 0x7ffe06195200, 0x7ffe06195208
0xfe02, 0x7ffe061951f8, 0x7ffe06195200
0xfe06, 0x7ffe061951f0, 0x7ffe061951f8
0xfe07, 0x7ffe061951e8, 0x7ffe061951f0
0xfe13, 0x7ffe061951e8, 0x7ffe061951f0
0xfe2a, 0x7ffe061951e8, 0x7ffe061951f0
0xfe41, 0x7ffe061951e8, 0x7ffe061951f0
